"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 12 18:58:19 GMT 2023","Thu Oct 12 18:58:20 GMT 2023","1778","tests","test_selene","","","","test_github",""
"broken","Thu Oct 12 18:58:21 GMT 2023","Thu Oct 12 18:58:22 GMT 2023","910","tests","test_selene_with_steps","","","","test_github",""
"broken","Thu Oct 12 18:58:21 GMT 2023","Thu Oct 12 18:58:21 GMT 2023","894","tests","test_selene_with_decorator","","","","test_decorator_steps",""
