"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 14 13:33:19 GMT 2023","Sat Oct 14 13:33:20 GMT 2023","946","tests","test_selene_with_decorator","","","","test_decorator_steps",""
"broken","Sat Oct 14 13:33:20 GMT 2023","Sat Oct 14 13:33:21 GMT 2023","980","tests","test_selene_with_steps","","","","test_github",""
"broken","Sat Oct 14 13:33:17 GMT 2023","Sat Oct 14 13:33:19 GMT 2023","1771","tests","test_selene","","","","test_github",""
