"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 12 18:47:53 GMT 2023","Thu Oct 12 18:47:55 GMT 2023","2030","tests","test_selene","","","","test_github",""
"broken","Thu Oct 12 18:47:55 GMT 2023","Thu Oct 12 18:47:56 GMT 2023","902","tests","test_selene_with_decorator","","","","test_decorator_steps",""
"broken","Thu Oct 12 18:47:56 GMT 2023","Thu Oct 12 18:47:57 GMT 2023","879","tests","test_selene_with_steps","","","","test_github",""
