"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 14 14:29:45 GMT 2023","Sat Oct 14 14:29:48 GMT 2023","2692","tests","test_selene_with_steps","","","","test_github",""
"passed","Sat Oct 14 14:29:42 GMT 2023","Sat Oct 14 14:29:45 GMT 2023","2657","tests","test_selene_with_decorator","","","","test_decorator_steps",""
"passed","Sat Oct 14 14:29:34 GMT 2023","Sat Oct 14 14:29:42 GMT 2023","8404","tests","test_selene","","","","test_github",""
