"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 14 14:45:59 GMT 2023","Sat Oct 14 14:46:01 GMT 2023","2470","tests","test_selene_with_decorator","","","","test_decorator_steps",""
"passed","Sat Oct 14 14:45:54 GMT 2023","Sat Oct 14 14:45:59 GMT 2023","5245","tests","test_selene","","","","test_github",""
"passed","Sat Oct 14 14:46:01 GMT 2023","Sat Oct 14 14:46:04 GMT 2023","2224","tests","test_selene_with_steps","","","","test_github",""
