"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 12 18:40:15 GMT 2023","Thu Oct 12 18:40:17 GMT 2023","2281","tests","test_selene","","","","test_github",""
"broken","Thu Oct 12 18:40:18 GMT 2023","Thu Oct 12 18:40:19 GMT 2023","905","tests","test_selene_with_steps","","","","test_github",""
"broken","Thu Oct 12 18:40:17 GMT 2023","Thu Oct 12 18:40:18 GMT 2023","983","tests","test_selene_with_decorator","","","","test_decorator_steps",""
